arm_id,A,B,N,C,domain_label,model,n_train,n_test,n_features,cv_auc_mean,cv_auc_std,train_auc,test_auc,test_ap,test_brier,test_ece,test_acc,test_sens,test_spec,overfit_gap_train_test_auc,generalization_gap_cv_test_auc,best_params,bundle_path,preds_path,selected_features_source,feature_mode
A=FK|B=OFF|N=OFF|C=OFF,FK,OFF,OFF,OFF,no_density,LR,538,135,9,0.715001642882779,0.05178349426055732,0.7153199505173188,0.7757777777777778,0.7518699186844909,0.22766584161044898,0.1904947171451775,0.725925925925926,0.6933333333333334,0.7666666666666667,-0.06045782726045901,-0.06077613489499878,"{""C"": 0.001}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_per_arm_ensemble/bundles/bundle__LR__A-FK__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_per_arm_ensemble/preds/preds_test__LR__A-FK__B-OFF__N-OFF__C-OFF.csv,train_only_per_arm_ensemble,PER_ARM_ENSEMBLE
A=VS|B=OFF|N=OFF|C=OFF,VS,OFF,OFF,OFF,no_density,XGB,538,135,12,0.6883809769339257,0.03253949421948043,0.9288686459739092,0.774,0.8287842818298486,0.19904719608011653,0.10130026936531068,0.674074074074074,0.6933333333333334,0.65,0.15486864597390915,-0.08561902306607427,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 0.9}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_per_arm_ensemble/bundles/bundle__XGB__A-VS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_per_arm_ensemble/preds/preds_test__XGB__A-VS__B-OFF__N-OFF__C-OFF.csv,train_only_per_arm_ensemble,PER_ARM_ENSEMBLE
A=NR|B=OFF|N=OFF|C=OFF,NR,OFF,OFF,OFF,no_density,LR,538,135,5,0.7103419218189997,0.04321253187943508,0.720816464237517,0.7733333333333333,0.7524233057577359,0.19909408981109572,0.11925679088937162,0.7407407407407407,0.76,0.7166666666666667,-0.05251686909581632,-0.06299141151433363,"{""C"": 0.23357214690901212}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_per_arm_ensemble/bundles/bundle__LR__A-NR__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_per_arm_ensemble/preds/preds_test__LR__A-NR__B-OFF__N-OFF__C-OFF.csv,train_only_per_arm_ensemble,PER_ARM_ENSEMBLE
A=NR|B=OFF|N=OFF|C=OFF,NR,OFF,OFF,OFF,no_density,XGB,538,135,5,0.6738127518033799,0.04092225583641259,0.8375998088169142,0.7577777777777778,0.8041712353482502,0.20427084135997634,0.1027565860086017,0.6814814814814815,0.7066666666666667,0.65,0.07982203103913643,-0.08396502597439792,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 1.0}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_per_arm_ensemble/bundles/bundle__XGB__A-NR__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_per_arm_ensemble/preds/preds_test__XGB__A-NR__B-OFF__N-OFF__C-OFF.csv,train_only_per_arm_ensemble,PER_ARM_ENSEMBLE
A=VS|B=OFF|N=OFF|C=OFF,VS,OFF,OFF,OFF,no_density,LR,538,135,12,0.7134635507499129,0.04821147008878182,0.7166132478632479,0.7544444444444444,0.7374648130496799,0.22624165037983662,0.15169354542484456,0.7037037037037037,0.6266666666666667,0.8,-0.03783119658119649,-0.040980893694531506,"{""C"": 0.0018329807108324356}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_per_arm_ensemble/bundles/bundle__LR__A-VS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_per_arm_ensemble/preds/preds_test__LR__A-VS__B-OFF__N-OFF__C-OFF.csv,train_only_per_arm_ensemble,PER_ARM_ENSEMBLE
A=RS|B=OFF|N=OFF|C=OFF,RS,OFF,OFF,OFF,no_density,LR,538,135,8,0.717610641836389,0.04256822457219372,0.7186375393612235,0.7411111111111112,0.7367141263906369,0.2207978135966399,0.13573894161106836,0.6962962962962963,0.6933333333333334,0.7,-0.022473571749887622,-0.023500469274722158,"{""C"": 0.006158482110660267}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_per_arm_ensemble/bundles/bundle__LR__A-RS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_per_arm_ensemble/preds/preds_test__LR__A-RS__B-OFF__N-OFF__C-OFF.csv,train_only_per_arm_ensemble,PER_ARM_ENSEMBLE
A=FK|B=OFF|N=OFF|C=OFF,FK,OFF,OFF,OFF,no_density,XGB,538,135,9,0.6910376447632479,0.03413990411203675,0.8623833220872695,0.7333333333333334,0.7327868968042441,0.21028998448430847,0.1028549415093881,0.6814814814814815,0.6933333333333334,0.6666666666666666,0.12904998875393614,-0.04229568857008548,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 1.0}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_per_arm_ensemble/bundles/bundle__XGB__A-FK__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_per_arm_ensemble/preds/preds_test__XGB__A-FK__B-OFF__N-OFF__C-OFF.csv,train_only_per_arm_ensemble,PER_ARM_ENSEMBLE
A=RS|B=OFF|N=OFF|C=OFF,RS,OFF,OFF,OFF,no_density,XGB,538,135,8,0.7013839897281914,0.032064573421969375,0.9004371907332434,0.7280000000000001,0.7903844292295802,0.21217208417837097,0.07646239278493104,0.6592592592592592,0.6533333333333333,0.6666666666666666,0.17243719073324326,-0.02661601027180871,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_per_arm_ensemble/bundles/bundle__XGB__A-RS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_per_arm_ensemble/preds/preds_test__XGB__A-RS__B-OFF__N-OFF__C-OFF.csv,train_only_per_arm_ensemble,PER_ARM_ENSEMBLE
