arm_id,A,B,N,C,domain_label,model,n_train,n_test,n_features,cv_auc_mean,cv_auc_std,train_auc,test_auc,test_ap,test_brier,test_ece,test_acc,test_sens,test_spec,overfit_gap_train_test_auc,generalization_gap_cv_test_auc,best_params,bundle_path,preds_path,selected_features_source,feature_mode
A=VS|B=OFF|N=OFF|C=OFF,VS,OFF,OFF,OFF,no_density,LR,163,45,12,0.6258677685950413,0.06381942115449477,0.714065180102916,0.6474654377880185,0.4486688274356998,0.23711401813196326,0.16626940838752938,0.5777777777777777,0.42857142857142855,0.6451612903225806,0.06659974231489751,-0.02159766919297712,"{""C"": 1.438449888287663}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_per_arm_ensemble/bundles/bundle__LR__A-VS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_per_arm_ensemble/preds/preds_test__LR__A-VS__B-OFF__N-OFF__C-OFF.csv,train_only_per_arm_ensemble,PER_ARM_ENSEMBLE
A=FK|B=OFF|N=OFF|C=OFF,FK,OFF,OFF,OFF,no_density,LR,163,45,10,0.5614876033057852,0.09775654341236226,0.5989708404802744,0.6428571428571429,0.47762153106229766,0.24666116261373566,0.18741278414375698,0.5777777777777777,0.6428571428571429,0.5483870967741935,-0.043886302376868525,-0.08136953955135773,"{""C"": 0.001}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_per_arm_ensemble/bundles/bundle__LR__A-FK__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_per_arm_ensemble/preds/preds_test__LR__A-FK__B-OFF__N-OFF__C-OFF.csv,train_only_per_arm_ensemble,PER_ARM_ENSEMBLE
A=NR|B=OFF|N=OFF|C=OFF,NR,OFF,OFF,OFF,no_density,LR,163,45,16,0.588099173553719,0.08373430387387726,0.630188679245283,0.6244239631336406,0.4088411092875378,0.2381297355422433,0.18460126308155594,0.5555555555555556,0.6428571428571429,0.5161290322580645,0.005764716111642421,-0.03632478957992158,"{""C"": 0.0379269019073225}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_per_arm_ensemble/bundles/bundle__LR__A-NR__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_per_arm_ensemble/preds/preds_test__LR__A-NR__B-OFF__N-OFF__C-OFF.csv,train_only_per_arm_ensemble,PER_ARM_ENSEMBLE
A=FK|B=OFF|N=OFF|C=OFF,FK,OFF,OFF,OFF,no_density,XGB,163,45,10,0.6239669421487604,0.049380424633642436,0.9432246998284735,0.5898617511520737,0.36621619093910857,0.25187910460237994,0.1545486417081621,0.6222222222222222,0.5,0.6774193548387096,0.3533629486763997,0.03410519099668663,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_per_arm_ensemble/bundles/bundle__XGB__A-FK__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_per_arm_ensemble/preds/preds_test__XGB__A-FK__B-OFF__N-OFF__C-OFF.csv,train_only_per_arm_ensemble,PER_ARM_ENSEMBLE
A=RS|B=OFF|N=OFF|C=OFF,RS,OFF,OFF,OFF,no_density,XGB,163,45,13,0.6348347107438016,0.07179882572094119,0.9416809605488852,0.5806451612903226,0.35949551440622873,0.2369809957144279,0.18435032235251533,0.6222222222222222,0.5,0.6774193548387096,0.36103579925856255,0.05418954945347898,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 1.0}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_per_arm_ensemble/bundles/bundle__XGB__A-RS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_per_arm_ensemble/preds/preds_test__XGB__A-RS__B-OFF__N-OFF__C-OFF.csv,train_only_per_arm_ensemble,PER_ARM_ENSEMBLE
A=RS|B=OFF|N=OFF|C=OFF,RS,OFF,OFF,OFF,no_density,LR,163,45,13,0.6215702479338844,0.06929267861082863,0.6874785591766723,0.5460829493087558,0.32482888397736365,0.24293944554351923,0.17223394256643823,0.6,0.7142857142857143,0.5483870967741935,0.14139560986791655,0.0754872986251286,"{""C"": 16.23776739188721}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_per_arm_ensemble/bundles/bundle__LR__A-RS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_per_arm_ensemble/preds/preds_test__LR__A-RS__B-OFF__N-OFF__C-OFF.csv,train_only_per_arm_ensemble,PER_ARM_ENSEMBLE
A=NR|B=OFF|N=OFF|C=OFF,NR,OFF,OFF,OFF,no_density,XGB,163,45,16,0.5773553719008264,0.06394868084523325,1.0,0.5046082949308757,0.31735459761642104,0.3146407243745133,0.28087600568930304,0.5777777777777777,0.42857142857142855,0.6451612903225806,0.49539170506912433,0.07274707696995075,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 1.0}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_per_arm_ensemble/bundles/bundle__XGB__A-NR__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_per_arm_ensemble/preds/preds_test__XGB__A-NR__B-OFF__N-OFF__C-OFF.csv,train_only_per_arm_ensemble,PER_ARM_ENSEMBLE
A=VS|B=OFF|N=OFF|C=OFF,VS,OFF,OFF,OFF,no_density,XGB,163,45,12,0.6209090909090909,0.09645086634946057,0.9425385934819897,0.3548387096774194,0.25027581222294043,0.3620961912044136,0.3283101300398509,0.4444444444444444,0.2857142857142857,0.5161290322580645,0.5876998838045703,0.2660703812316715,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.7}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_per_arm_ensemble/bundles/bundle__XGB__A-VS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_per_arm_ensemble/preds/preds_test__XGB__A-VS__B-OFF__N-OFF__C-OFF.csv,train_only_per_arm_ensemble,PER_ARM_ENSEMBLE
