modality,validation,analysis,model,comparison,n_paired,auc_arm1,auc_arm2,delta_auc,ci95_low,ci95_high,bootstrap_p_exploratory,n_bootstrap
MRI,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",LR,VS - RS,45,0.7004608294930876,0.599078341013825,0.10138248847926268,-0.12286012664963819,0.31681189690648504,0.3614,10000
MRI,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",XGB,VS - NR,45,0.38018433179723504,0.5576036866359446,-0.17741935483870958,-0.34259259259259256,-0.016826418067226893,0.0296,10000
MRI,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",XGB,RS - NR,45,0.6290322580645161,0.5576036866359446,0.07142857142857151,-0.10185185185185186,0.2593582887700535,0.438,10000
MRI,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",XGB,FK - NR,45,0.5207373271889402,0.5576036866359446,-0.03686635944700445,-0.21154953917050692,0.1300063025210083,0.7196,10000
MRI,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",XGB,VS - RS,45,0.38018433179723504,0.6290322580645161,-0.24884792626728108,-0.4516867323852618,-0.04858270676691731,0.014,10000
MRI,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",MLP,VS - NR,45,0.48156682027649766,0.7027649769585254,-0.2211981566820277,-0.42857142857142855,-0.017775252525252565,0.0348,10000
MRI,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",MLP,RS - NR,45,0.6682027649769585,0.7027649769585254,-0.03456221198156684,-0.0889423076923076,0.016826923076923017,0.1842,10000
MRI,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",MLP,FK - NR,45,0.6428571428571429,0.7027649769585254,-0.05990783410138245,-0.12903225806451613,0.006302521008403339,0.0866,10000
MRI,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",MLP,VS - RS,45,0.48156682027649766,0.6682027649769585,-0.18663594470046085,-0.3911111111111111,0.00505793226381454,0.0594,10000
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",LR,VS - NR,63,0.36717171717171715,0.41919191919191917,-0.05202020202020202,-0.1409465020576131,0.03418593647136267,0.236,10000
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",LR,RS - NR,63,0.5696969696969697,0.41919191919191917,0.15050505050505053,-0.022448979591836726,0.31790123456790126,0.0898,10000
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",LR,FK - NR,63,0.6313131313131313,0.41919191919191917,0.2121212121212121,0.006084578031839681,0.4163306451612903,0.0446,10000
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",LR,VS - RS,63,0.36717171717171715,0.5696969696969697,-0.20252525252525255,-0.3765306122448979,-0.023184550477897272,0.0286,10000
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",XGB,VS - NR,63,0.41717171717171714,0.456060606060606,-0.03888888888888886,-0.1985603967542811,0.1193877551020408,0.6376,10000
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",XGB,RS - NR,63,0.5595959595959595,0.456060606060606,0.10353535353535354,-0.04546668609168604,0.24847870182555776,0.1642,10000
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",XGB,FK - NR,63,0.5606060606060606,0.456060606060606,0.10454545454545455,-0.0642105263157895,0.2735042735042735,0.2236,10000
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",XGB,VS - RS,63,0.41717171717171714,0.5595959595959595,-0.1424242424242424,-0.32407748538011694,0.039137022397891866,0.1228,10000
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",MLP,VS - NR,63,0.5070707070707071,0.4565656565656566,0.0505050505050505,-0.08980290711998033,0.19092031425364744,0.4624,10000
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",MLP,RS - NR,63,0.5555555555555556,0.4565656565656566,0.09898989898989896,-0.07158459595959597,0.26612903225806445,0.252,10000
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",MLP,FK - NR,63,0.6747474747474748,0.4565656565656566,0.21818181818181814,0.06028378378378374,0.3752599660553876,0.0048,10000
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",MLP,VS - RS,63,0.5070707070707071,0.5555555555555556,-0.048484848484848464,-0.24592830290010748,0.15657036595796664,0.6328,10000
