modality,validation,analysis,arm,model,n,n_positive,n_negative,auc,ci95_low,ci95_high,n_bootstrap,source_prediction_file,source_results_file
MRI,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",NR,LR,45,14,31,0.6382488479262673,0.4567886396011396,0.804147465437788,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/preds/preds_test__LR__A-NR__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/results_models.csv
MRI,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",NR,XGB,45,14,31,0.5576036866359446,0.36888383838383837,0.7403846153846154,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/preds/preds_test__XGB__A-NR__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/results_models.csv
MRI,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",NR,MLP,45,14,31,0.7027649769585254,0.5279944444444444,0.8535353535353535,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/preds/preds_test__MLP__A-NR__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/results_models.csv
MRI,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",RS,LR,45,14,31,0.599078341013825,0.4177619047619048,0.7672413793103449,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/preds/preds_test__LR__A-RS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/results_models.csv
MRI,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",RS,XGB,45,14,31,0.6290322580645161,0.46392780172413794,0.7836612654320987,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/preds/preds_test__XGB__A-RS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/results_models.csv
MRI,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",RS,MLP,45,14,31,0.6682027649769585,0.4831927723012282,0.834482746635524,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/preds/preds_test__MLP__A-RS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/results_models.csv
MRI,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",VS,LR,45,14,31,0.7004608294930876,0.5299539170506913,0.8502031287897163,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/preds/preds_test__LR__A-VS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/results_models.csv
MRI,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",VS,XGB,45,14,31,0.38018433179723504,0.21336135057471264,0.5555555555555556,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/preds/preds_test__XGB__A-VS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/results_models.csv
MRI,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",VS,MLP,45,14,31,0.48156682027649766,0.2926155866568053,0.6680706153429112,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/preds/preds_test__MLP__A-VS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/results_models.csv
MRI,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",FK,LR,45,14,31,0.5737327188940091,0.38271604938271603,0.7575757575757576,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/preds/preds_test__LR__A-FK__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/results_models.csv
MRI,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",FK,XGB,45,14,31,0.5207373271889402,0.34847088395475495,0.6919191919191919,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/preds/preds_test__XGB__A-FK__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/results_models.csv
MRI,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",FK,MLP,45,14,31,0.6428571428571429,0.4599969135802469,0.8087557603686636,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/preds/preds_test__MLP__A-FK__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/results_models.csv
CT,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",NR,LR,46,23,23,0.6162570888468809,0.4498959402286435,0.7752380952380953,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_predictions__bundle__LR__A-NR__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/external_validation_summary_all.csv
CT,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",NR,XGB,46,23,23,0.5897920604914935,0.41911728872835685,0.7548477041283004,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_predictions__bundle__XGB__A-NR__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/external_validation_summary_all.csv
CT,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",NR,MLP,46,23,23,0.6483931947069943,0.47619047619047616,0.8068181818181818,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_predictions__bundle__MLP__A-NR__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/external_validation_summary_all.csv
