arm_id,A,B,N,C,domain_label,n_rows,n_features_considered,n_stable_features,n_selected_once_or_more,stable_threshold_folds,combat_failures,top10_features,top10_stable_features,stable_firstorder,stable_glcm,stable_glrlm,stable_gldm,stable_glszm,stable_ngtdm,stable_shape,stable_other,stable_texture_total
A=FK|B=OFF|N=OFF|C=OFF,FK,OFF,OFF,OFF,no_density,673,182,7,15,2,0,gradient_glcm_Imc1;gradient_ngtdm_Strength;original_glszm_SizeZoneNonUniformity;gradient_glrlm_GrayLevelNonUniformity;original_glcm_Imc1;original_gldm_GrayLevelNonUniformity;original_glszm_GrayLevelNonUniformity;gradient_ngtdm_Busyness;original_gldm_DependenceVariance;original_gldm_SmallDependenceLowGrayLevelEmphasis,gradient_glcm_Imc1;gradient_ngtdm_Strength;original_glszm_SizeZoneNonUniformity;gradient_glrlm_GrayLevelNonUniformity;original_glcm_Imc1;original_gldm_GrayLevelNonUniformity;original_glszm_GrayLevelNonUniformity,0,2,1,1,2,1,0,0,7
A=NR|B=OFF|N=OFF|C=OFF,NR,OFF,OFF,OFF,no_density,673,182,7,20,2,0,gradient_ngtdm_Busyness;original_glcm_Imc1;original_glszm_GrayLevelNonUniformity;original_glszm_SizeZoneNonUniformity;gradient_glcm_Imc1;gradient_firstorder_TotalEnergy;gradient_glrlm_GrayLevelNonUniformity;gradient_glszm_GrayLevelNonUniformity;original_gldm_DependenceVariance;original_glrlm_GrayLevelNonUniformity,gradient_ngtdm_Busyness;original_glcm_Imc1;original_glszm_GrayLevelNonUniformity;original_glszm_SizeZoneNonUniformity;gradient_glcm_Imc1;gradient_firstorder_TotalEnergy;gradient_glrlm_GrayLevelNonUniformity,1,2,1,0,2,1,0,0,6
A=RS|B=OFF|N=OFF|C=OFF,RS,OFF,OFF,OFF,no_density,673,182,11,20,2,0,gradient_ngtdm_Busyness;original_ngtdm_Strength;gradient_glszm_GrayLevelNonUniformity;original_glszm_SizeZoneNonUniformity;original_gldm_DependenceNonUniformityNormalized;gradient_glrlm_GrayLevelNonUniformity;original_gldm_DependenceEntropy;original_glcm_Imc2;original_gldm_SmallDependenceLowGrayLevelEmphasis;original_glrlm_RunLengthNonUniformity,gradient_ngtdm_Busyness;original_ngtdm_Strength;gradient_glszm_GrayLevelNonUniformity;original_glszm_SizeZoneNonUniformity;original_gldm_DependenceNonUniformityNormalized;gradient_glrlm_GrayLevelNonUniformity;original_gldm_DependenceEntropy;original_glcm_Imc2;original_gldm_SmallDependenceLowGrayLevelEmphasis;original_glrlm_RunLengthNonUniformity,1,1,2,3,2,2,0,0,10
A=VS|B=OFF|N=OFF|C=OFF,VS,OFF,OFF,OFF,no_density,673,182,6,17,2,0,original_glcm_Imc1;original_glszm_SizeZoneNonUniformity;original_glcm_Idmn;original_glrlm_RunLengthNonUniformity;gradient_glszm_GrayLevelNonUniformity;original_glszm_GrayLevelNonUniformity;gradient_glcm_Imc1;gradient_glrlm_GrayLevelNonUniformity;gradient_ngtdm_Busyness;original_ngtdm_Strength,original_glcm_Imc1;original_glszm_SizeZoneNonUniformity;original_glcm_Idmn;original_glrlm_RunLengthNonUniformity;gradient_glszm_GrayLevelNonUniformity;original_glszm_GrayLevelNonUniformity,0,2,1,0,3,0,0,0,6
