arm_id,A,B,N,C,domain_label,n_rows,n_features_considered,n_stable_features,n_selected_once_or_more,stable_threshold_folds,combat_failures,top10_features,top10_stable_features,stable_firstorder,stable_glcm,stable_glrlm,stable_gldm,stable_glszm,stable_ngtdm,stable_shape,stable_other,stable_texture_total
A=FK|B=OFF|N=OFF|C=OFF,FK,OFF,OFF,OFF,no_density,208,182,3,24,3,0,gradient_glrlm_GrayLevelNonUniformity;original_glszm_GrayLevelNonUniformity;original_ngtdm_Coarseness;gradient_gldm_SmallDependenceLowGrayLevelEmphasis;gradient_glszm_GrayLevelNonUniformity;gradient_ngtdm_Coarseness;gradient_glrlm_RunLengthNonUniformity;gradient_gldm_GrayLevelNonUniformity;original_glrlm_RunLengthNonUniformity;gradient_firstorder_Skewness,gradient_glrlm_GrayLevelNonUniformity;original_glszm_GrayLevelNonUniformity;original_ngtdm_Coarseness,0,0,1,0,1,1,0,0,3
A=NR|B=OFF|N=OFF|C=OFF,NR,OFF,OFF,OFF,no_density,208,182,0,27,3,0,gradient_firstorder_Kurtosis;gradient_gldm_GrayLevelNonUniformity;gradient_glszm_GrayLevelNonUniformity;gradient_gldm_SmallDependenceLowGrayLevelEmphasis;gradient_glrlm_GrayLevelNonUniformity;gradient_ngtdm_Coarseness;original_gldm_GrayLevelNonUniformity;original_glszm_GrayLevelNonUniformity;original_ngtdm_Coarseness;gradient_firstorder_Skewness,,0,0,0,0,0,0,0,0,0
A=RS|B=OFF|N=OFF|C=OFF,RS,OFF,OFF,OFF,no_density,208,182,9,39,3,0,gradient_gldm_GrayLevelNonUniformity;gradient_glrlm_GrayLevelNonUniformity;gradient_ngtdm_Busyness;gradient_firstorder_Kurtosis;gradient_glrlm_RunLengthNonUniformity;original_glrlm_RunLengthNonUniformity;gradient_glszm_GrayLevelNonUniformity;gradient_ngtdm_Coarseness;original_glszm_GrayLevelNonUniformity;gradient_firstorder_Skewness,gradient_gldm_GrayLevelNonUniformity;gradient_glrlm_GrayLevelNonUniformity;gradient_ngtdm_Busyness;gradient_firstorder_Kurtosis;gradient_glrlm_RunLengthNonUniformity;original_glrlm_RunLengthNonUniformity;gradient_glszm_GrayLevelNonUniformity;gradient_ngtdm_Coarseness;original_glszm_GrayLevelNonUniformity,1,0,3,1,2,2,0,0,8
A=VS|B=OFF|N=OFF|C=OFF,VS,OFF,OFF,OFF,no_density,208,182,1,32,3,0,gradient_firstorder_Kurtosis;gradient_gldm_GrayLevelNonUniformity;gradient_glszm_SmallAreaHighGrayLevelEmphasis;gradient_glrlm_RunLengthNonUniformity;original_gldm_LargeDependenceHighGrayLevelEmphasis;gradient_firstorder_Skewness;gradient_glrlm_GrayLevelNonUniformity;gradient_gldm_DependenceNonUniformity;original_glrlm_RunLengthNonUniformity;gradient_glszm_LowGrayLevelZoneEmphasis,gradient_firstorder_Kurtosis,1,0,0,0,0,0,0,0,0
