relative_path	size_bytes	sha256	category	provenance_original_path	purpose
data/derived_features/MRI/internal/merged_homogeneous/radiomics_MRI_NR.csv	764638	37c5baee71d1f32b7b0696fafd8169664076be3bb9e67f4540c99d48341db90f	derived_feature_csv	<ORIGINAL_PROJECT_ROOT>/results/MRIready/merged_homogeneous/radiomics_MRI_NR_merged.csv	Final Paper 1 Axis A B/OFF N/OFF C/OFF derived radiomic features; dropped privacy-redundant columns ['patient_id_short']
data/derived_features/MRI/internal/merged_homogeneous/radiomics_MRI_RS.csv	762112	68497160524ba8e743554fb117513c5629ab516e9be48c23ec798eb84c66cfd0	derived_feature_csv	<ORIGINAL_PROJECT_ROOT>/results/MRIready/merged_homogeneous/radiomics_MRI_RS_merged.csv	Final Paper 1 Axis A B/OFF N/OFF C/OFF derived radiomic features; dropped privacy-redundant columns ['patient_id_short']
data/derived_features/MRI/internal/merged_homogeneous/radiomics_MRI_VS.csv	764736	2b363727d5985a657819313c5f1a16db45457512b5ce4fe8ab6c8a10dbb7d00f	derived_feature_csv	<ORIGINAL_PROJECT_ROOT>/results/MRIready/merged_homogeneous/radiomics_MRI_VS_merged.csv	Final Paper 1 Axis A B/OFF N/OFF C/OFF derived radiomic features; dropped privacy-redundant columns ['patient_id_short']
docs/ANALYSIS_MAP.md	2624	ae2a34aee405422aa2fc8ab5472f300886ba63769ce65a9f8b5cce9466e7b789	documentation	generated_or_release_local	release file
docs/AUDIT_REPORT.md	3119	0593f4ad343346f823a4917510b34b77903c7011688320c66d071b33a30fed26	documentation	generated_or_release_local	release file
docs/DATA_DICTIONARY.md	1243	9dc1e02e61a6802dabf68923ab11b5159426fda2bd9dbee5544aeba1c418bd88	documentation	generated_or_release_local	release file
docs/PROVENANCE_INPUTS.tsv	55635	4fb876c17d1f57177a8b237f278e2017cd04ca24a36eed5d21c3f7c5b214e3e3	documentation	generated_or_release_local	release file
docs/REPRODUCIBILITY.md	743	fdec5d786bd984ebb2965d7d7666da97e24ceecf1601cf420e598d202f0040f2	documentation	generated_or_release_local	release file
docs/REPRODUCIBILITY_CHECK.md	1968	54d93d4510452d3eaf89aa250ba0338b8958f93a914d1c5925b1d6adf8f4bcf2	documentation	generated_or_release_local	release file
environment_notes.md	673	4727b8b0f969bbac15bf0e16eee3c49cec653e9f412f28574e51b3e46169ba3a	code/config/data	generated_or_release_local	release file
git_status_before.txt	193	c70d44e4f0f5d997ebdfb6aa93f2cf562d46adaa0e8d5865cec8744721670578	code/config/data	generated_or_release_local	release file
requirements.txt	206	ae7110d5489b65a2d0bda42dea74c9086b9c67fda7444ba8340322b639f7f7bb	code/config/data	generated_or_release_local	release file
results/README.md	245	eefdbd5b3c1996271918587ab69f01559bc00cf4c8ebdf473a9663270f1f38ed	code/config/data	generated_or_release_local	release file
results/reference_outputs/bootstrap/axisA_auc_bootstrap_ci.csv	21037	6f515e62ea01da8cd6e7a79ee0699b9104d34783a5e73491861e1baa7719f060	reference_output	<ORIGINAL_PROJECT_ROOT>/study_results/axisA_bootstrap_auc_ci_NUEVOS_axisA_only/axisA_auc_bootstrap_ci.csv	Final bootstrap AUC CI/delta reference output
results/reference_outputs/bootstrap/axisA_auc_paired_differences.csv	9968	90a0708efff973eddbfe961a82a1b200c35579c5b03ea57d588448cc172ba4f5	reference_output	<ORIGINAL_PROJECT_ROOT>/study_results/axisA_bootstrap_auc_ci_NUEVOS_axisA_only/axisA_auc_paired_differences.csv	Final bootstrap AUC CI/delta reference output
results/reference_outputs/bootstrap/bootstrap_auc_ci.py	35882	6b28968839cde58557fc14ba77a6feb2180f39cdea6eccc77d1c0cc50fc6e9ef	reference_output	<ORIGINAL_PROJECT_ROOT>/study_results/axisA_bootstrap_auc_ci_NUEVOS_axisA_only/bootstrap_auc_ci.py	Final bootstrap AUC CI/delta reference output
results/reference_outputs/bootstrap/paired_auc_manuscript_summary.csv	5526	02fc82a44ac3dccc97588d936c33c0f4ba0e9a5bf6449a37dbc1a91352b2d754	reference_output	<ORIGINAL_PROJECT_ROOT>/study_results/axisA_bootstrap_auc_ci_NUEVOS_axisA_only/paired_auc_manuscript_summary.csv	Final bootstrap AUC CI/delta reference output
results/reference_outputs/bootstrap/paired_auc_manuscript_summary.md	7070	9778d521a60ebb4a1bab6355fb04e6b62b8771ce14b98a40c6efb5efb2a37204	reference_output	<ORIGINAL_PROJECT_ROOT>/study_results/axisA_bootstrap_auc_ci_NUEVOS_axisA_only/paired_auc_manuscript_summary.md	Final bootstrap AUC CI/delta reference output
results/reference_outputs/external_validation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__LR__A-FK__B-OFF__N-OFF__C-OFF.json	967	a0ccf6673ca4ce89ba939499b430dd4bad556322d4b7f3d6ae3c7183710595b5	reference_output	<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__LR__A-FK__B-OFF__N-OFF__C-OFF.json	Final CT external prediction/metric output
results/reference_outputs/external_validation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__LR__A-NR__B-OFF__N-OFF__C-OFF.json	967	fc8d6e4f6c808c9369108d2c8e533bf2addbfa709bab7d7699e9af47c41b1474	reference_output	<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__LR__A-NR__B-OFF__N-OFF__C-OFF.json	Final CT external prediction/metric output
results/reference_outputs/external_validation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__LR__A-RS__B-OFF__N-OFF__C-OFF.json	983	be0ca1805094e8a825a3fb0fbbf727d1fc8461fa40331683fe6c23476ab7ea75	reference_output	<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__LR__A-RS__B-OFF__N-OFF__C-OFF.json	Final CT external prediction/metric output
results/reference_outputs/external_validation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__LR__A-VS__B-OFF__N-OFF__C-OFF.json	968	a0d2f224119bdab8153c7d3a999ee6062a6ce5e09a504b44d0e2ce0b5c29ce8c	reference_output	<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__LR__A-VS__B-OFF__N-OFF__C-OFF.json	Final CT external prediction/metric output
