arm_id,A,B,N,C,domain_label,model,n_train,n_test,n_features,cv_auc_mean,cv_auc_std,train_auc,test_auc,test_ap,test_brier,test_ece,test_acc,test_sens,test_spec,overfit_gap_train_test_auc,generalization_gap_cv_test_auc,best_params,bundle_path,preds_path,selected_features_source,feature_mode
A=RS|B=OFF|N=OFF|C=OFF,RS,OFF,OFF,OFF,no_density,XGB,163,45,182,0.6108264462809917,0.04674530957157252,0.9948542024013722,0.6889400921658986,0.44254830694819736,0.21627547459959753,0.14824124740229713,0.7111111111111111,0.6428571428571429,0.7419354838709677,0.30591411023547366,-0.07811364588490688,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.7}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_full_features/bundles/bundle__XGB__A-RS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_full_features/preds/preds_test__XGB__A-RS__B-OFF__N-OFF__C-OFF.csv,train_only_full_features,FULL_FEATURES
A=VS|B=OFF|N=OFF|C=OFF,VS,OFF,OFF,OFF,no_density,XGB,163,45,182,0.5027272727272727,0.09308573778837023,1.0,0.6059907834101383,0.4124656050657606,0.2741906455638269,0.2556001361873415,0.5777777777777777,0.42857142857142855,0.6451612903225806,0.39400921658986165,-0.10326351068286566,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 0.7}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_full_features/bundles/bundle__XGB__A-VS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_full_features/preds/preds_test__XGB__A-VS__B-OFF__N-OFF__C-OFF.csv,train_only_full_features,FULL_FEATURES
A=VS|B=OFF|N=OFF|C=OFF,VS,OFF,OFF,OFF,no_density,LR,163,45,182,0.5543801652892562,0.062095546059115644,0.7444253859348199,0.5552995391705069,0.3717622106014963,0.2482366545815834,0.17933699433325528,0.5333333333333333,0.5,0.5483870967741935,0.189125846764313,-0.0009193738812507402,"{""C"": 0.011288378916846888}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_full_features/bundles/bundle__LR__A-VS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_full_features/preds/preds_test__LR__A-VS__B-OFF__N-OFF__C-OFF.csv,train_only_full_features,FULL_FEATURES
A=FK|B=OFF|N=OFF|C=OFF,FK,OFF,OFF,OFF,no_density,XGB,163,45,182,0.5371900826446281,0.0698281086419051,1.0,0.5345622119815668,0.42589441868557976,0.32187033040934604,0.3148559809558922,0.5555555555555556,0.2857142857142857,0.6774193548387096,0.46543778801843316,0.002627870663061249,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 1.0}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_full_features/bundles/bundle__XGB__A-FK__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_full_features/preds/preds_test__XGB__A-FK__B-OFF__N-OFF__C-OFF.csv,train_only_full_features,FULL_FEATURES
A=NR|B=OFF|N=OFF|C=OFF,NR,OFF,OFF,OFF,no_density,LR,163,45,182,0.5804132231404958,0.057195576098841155,0.9821612349914237,0.532258064516129,0.32712197105325325,0.357736675521487,0.35700043783426144,0.4888888888888889,0.42857142857142855,0.5161290322580645,0.4499031704752947,0.04815515862436681,"{""C"": 16.23776739188721}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_full_features/bundles/bundle__LR__A-NR__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_full_features/preds/preds_test__LR__A-NR__B-OFF__N-OFF__C-OFF.csv,train_only_full_features,FULL_FEATURES
A=NR|B=OFF|N=OFF|C=OFF,NR,OFF,OFF,OFF,no_density,XGB,163,45,182,0.5304132231404959,0.0328605683516576,1.0,0.5230414746543779,0.34364490380835944,0.3112102716347446,0.2711584070490466,0.6222222222222222,0.42857142857142855,0.7096774193548387,0.4769585253456221,0.0073717484861179905,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 1.0}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_full_features/bundles/bundle__XGB__A-NR__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_full_features/preds/preds_test__XGB__A-NR__B-OFF__N-OFF__C-OFF.csv,train_only_full_features,FULL_FEATURES
A=FK|B=OFF|N=OFF|C=OFF,FK,OFF,OFF,OFF,no_density,LR,163,45,182,0.6029752066115701,0.10913203582397098,0.9432246998284733,0.49539170506912444,0.3071941957085122,0.3227153700069582,0.2484554135583065,0.4888888888888889,0.5,0.4838709677419355,0.4478329947593489,0.10758350154244567,"{""C"": 4.832930238571752}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_full_features/bundles/bundle__LR__A-FK__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_full_features/preds/preds_test__LR__A-FK__B-OFF__N-OFF__C-OFF.csv,train_only_full_features,FULL_FEATURES
A=RS|B=OFF|N=OFF|C=OFF,RS,OFF,OFF,OFF,no_density,LR,163,45,182,0.6941322314049587,0.1376350446110599,0.9795883361921098,0.47465437788018433,0.29666096974852696,0.3637948653609046,0.36450519349095445,0.5555555555555556,0.35714285714285715,0.6451612903225806,0.5049339583119254,0.2194778535247744,"{""C"": 16.23776739188721}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_full_features/bundles/bundle__LR__A-RS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_full_features/preds/preds_test__LR__A-RS__B-OFF__N-OFF__C-OFF.csv,train_only_full_features,FULL_FEATURES
