arm_id,A,B,N,C,domain_label,model,n_train,n_test,n_features,cv_auc_mean,cv_auc_std,train_auc,test_auc,test_ap,test_brier,test_ece,test_acc,test_sens,test_spec,overfit_gap_train_test_auc,generalization_gap_cv_test_auc,best_params,bundle_path,preds_path,selected_features_source,feature_mode
A=NR|B=OFF|N=OFF|C=OFF,NR,OFF,OFF,OFF,no_density,LR,538,135,182,0.719952078373091,0.03928143496095397,0.7369967386414754,0.7933333333333333,0.7676830871234799,0.19394532119444285,0.11357440236860167,0.7111111111111111,0.7333333333333333,0.6833333333333333,-0.05633659469185792,-0.07338125496024228,"{""C"": 0.0018329807108324356}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_full_features/bundles/bundle__LR__A-NR__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_full_features/preds/preds_test__LR__A-NR__B-OFF__N-OFF__C-OFF.csv,train_only_full_features,FULL_FEATURES
A=VS|B=OFF|N=OFF|C=OFF,VS,OFF,OFF,OFF,no_density,LR,538,135,182,0.7170040895143639,0.035024742645896584,0.7427462887989202,0.7888888888888889,0.7662793707109887,0.19350210948547347,0.09040688262123675,0.7185185185185186,0.7333333333333333,0.7,-0.04614260008996862,-0.07188479937452497,"{""C"": 0.003359818286283781}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_full_features/bundles/bundle__LR__A-VS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_full_features/preds/preds_test__LR__A-VS__B-OFF__N-OFF__C-OFF.csv,train_only_full_features,FULL_FEATURES
A=FK|B=OFF|N=OFF|C=OFF,FK,OFF,OFF,OFF,no_density,LR,538,135,182,0.7205771320827205,0.048588068557372,0.7338197255960415,0.7853333333333334,0.7589356901062259,0.19681315622858642,0.1126541160774077,0.7111111111111111,0.7333333333333333,0.6833333333333333,-0.051513607737291967,-0.06475620125061299,"{""C"": 0.0018329807108324356}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_full_features/bundles/bundle__LR__A-FK__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_full_features/preds/preds_test__LR__A-FK__B-OFF__N-OFF__C-OFF.csv,train_only_full_features,FULL_FEATURES
A=VS|B=OFF|N=OFF|C=OFF,VS,OFF,OFF,OFF,no_density,XGB,538,135,182,0.7017336710089322,0.03233877529197256,0.9895692757534863,0.7811111111111111,0.8286690723066857,0.19380691808840808,0.08228860276716729,0.7037037037037037,0.72,0.6833333333333333,0.2084581646423752,-0.07937744010217884,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 0.9}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_full_features/bundles/bundle__XGB__A-VS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_full_features/preds/preds_test__XGB__A-VS__B-OFF__N-OFF__C-OFF.csv,train_only_full_features,FULL_FEATURES
A=NR|B=OFF|N=OFF|C=OFF,NR,OFF,OFF,OFF,no_density,XGB,538,135,182,0.7194303493527043,0.03628459835618258,0.9887398785425102,0.7604444444444444,0.8015184179680693,0.198000884194039,0.08848969296172812,0.7111111111111111,0.7466666666666667,0.6666666666666666,0.22829543409806585,-0.04101409509174003,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 0.9}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_full_features/bundles/bundle__XGB__A-NR__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_full_features/preds/preds_test__XGB__A-NR__B-OFF__N-OFF__C-OFF.csv,train_only_full_features,FULL_FEATURES
A=FK|B=OFF|N=OFF|C=OFF,FK,OFF,OFF,OFF,no_density,XGB,538,135,182,0.7074270433670503,0.04419839843780869,0.9913405308142149,0.7482222222222222,0.7371702904652753,0.20044730003478214,0.0753382048121205,0.7111111111111111,0.76,0.65,0.24311830859199268,-0.04079517885517192,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_full_features/bundles/bundle__XGB__A-FK__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_full_features/preds/preds_test__XGB__A-FK__B-OFF__N-OFF__C-OFF.csv,train_only_full_features,FULL_FEATURES
A=RS|B=OFF|N=OFF|C=OFF,RS,OFF,OFF,OFF,no_density,LR,538,135,182,0.7069776011889417,0.04143115409399974,0.7205212550607287,0.7397777777777779,0.7407108182772286,0.2143872964952993,0.14778606176317044,0.7185185185185186,0.76,0.6666666666666666,-0.01925652271704914,-0.03280017658883616,"{""C"": 0.001}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_full_features/bundles/bundle__LR__A-RS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_full_features/preds/preds_test__LR__A-RS__B-OFF__N-OFF__C-OFF.csv,train_only_full_features,FULL_FEATURES
A=RS|B=OFF|N=OFF|C=OFF,RS,OFF,OFF,OFF,no_density,XGB,538,135,182,0.6864002163550245,0.05900694595349742,0.9437275078722447,0.7086666666666668,0.7389314142241552,0.218812137022366,0.06573623131822658,0.6518518518518519,0.64,0.6666666666666666,0.2350608412055779,-0.022266450311642316,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 1.0}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_full_features/bundles/bundle__XGB__A-RS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_full_features/preds/preds_test__XGB__A-RS__B-OFF__N-OFF__C-OFF.csv,train_only_full_features,FULL_FEATURES
